17/17 [==============================] - 13s 83ms/step - loss: 4.7576 - accuracy: 0.1747
17/17 [==============================] - 1s 78ms/step - loss: 2.3557 - accuracy: 0.3215
17/17 [==============================] - 1s 78ms/step - loss: 1.6784 - accuracy: 0.4654
17/17 [==============================] - 1s 78ms/step - loss: 1.2755 - accuracy: 0.5616
17/17 [==============================] - 1s 76ms/step - loss: 0.9236 - accuracy: 0.6684
17/17 [==============================] - 1s 77ms/step - loss: 0.8250 - accuracy: 0.7281
17/17 [==============================] - 1s 77ms/step - loss: 0.7326 - accuracy: 0.7589
17/17 [==============================] - 1s 77ms/step - loss: 0.5728 - accuracy: 0.8008
17/17 [==============================] - 1s 77ms/step - loss: 0.4820 - accuracy: 0.8268
17/17 [==============================] - 1s 77ms/step - loss: 0.4360 - accuracy: 0.8450
17/17 [==============================] - 1s 75ms/step - loss: 0.4573 - accuracy: 0.8388
17/17 [==============================] - 1s 77ms/step - loss: 0.3756 - accuracy: 0.8715
17/17 [==============================] - 1s 77ms/step - loss: 0.3189 - accuracy: 0.8936
17/17 [==============================] - 1s 79ms/step - loss: 0.2241 - accuracy: 0.9293
17/17 [==============================] - 1s 79ms/step - loss: 0.2062 - accuracy: 0.9317
17/17 [==============================] - 1s 76ms/step - loss: 0.2624 - accuracy: 0.9196
17/17 [==============================] - 1s 77ms/step - loss: 0.1860 - accuracy: 0.9384
17/17 [==============================] - 1s 78ms/step - loss: 0.1894 - accuracy: 0.9398
17/17 [==============================] - 1s 76ms/step - loss: 0.2363 - accuracy: 0.9211
17/17 [==============================] - 1s 78ms/step - loss: 0.1349 - accuracy: 0.9567
17/17 [==============================] - 1s 75ms/step - loss: 0.1272 - accuracy: 0.9538
17/17 [==============================] - 1s 76ms/step - loss: 0.1259 - accuracy: 0.9548
17/17 [==============================] - 1s 78ms/step - loss: 0.1446 - accuracy: 0.9524
17/17 [==============================] - 1s 78ms/step - loss: 0.1160 - accuracy: 0.9658
17/17 [==============================] - 1s 75ms/step - loss: 0.1281 - accuracy: 0.9629
17/17 [==============================] - 1s 77ms/step - loss: 0.0806 - accuracy: 0.9735
17/17 [==============================] - 1s 77ms/step - loss: 0.0619 - accuracy: 0.9808
17/17 [==============================] - 1s 77ms/step - loss: 0.0437 - accuracy: 0.9851
17/17 [==============================] - 1s 75ms/step - loss: 0.0759 - accuracy: 0.9803
17/17 [==============================] - 1s 76ms/step - loss: 0.0616 - accuracy: 0.9798
17/17 [==============================] - 1s 75ms/step - loss: 0.0442 - accuracy: 0.9827
17/17 [==============================] - 1s 75ms/step - loss: 0.0720 - accuracy: 0.9793
17/17 [==============================] - 1s 75ms/step - loss: 0.0715 - accuracy: 0.9755
17/17 [==============================] - 1s 76ms/step - loss: 0.1253 - accuracy: 0.9620
17/17 [==============================] - 1s 76ms/step - loss: 0.1228 - accuracy: 0.9702
17/17 [==============================] - 1s 76ms/step - loss: 0.1298 - accuracy: 0.9629
17/17 [==============================] - 1s 75ms/step - loss: 0.0715 - accuracy: 0.9759
17/17 [==============================] - 1s 80ms/step - loss: 0.0741 - accuracy: 0.9793
