17/17 [==============================] - 14s 96ms/step - loss: 9.9717 - accuracy: 0.3580
17/17 [==============================] - 1s 85ms/step - loss: 5.1981 - accuracy: 0.6420
17/17 [==============================] - 1s 86ms/step - loss: 5.1738 - accuracy: 0.6756
17/17 [==============================] - 1s 87ms/step - loss: 3.8950 - accuracy: 0.7228
17/17 [==============================] - 1s 86ms/step - loss: 2.6472 - accuracy: 0.8022
17/17 [==============================] - 1s 84ms/step - loss: 3.0993 - accuracy: 0.7830
17/17 [==============================] - 1s 86ms/step - loss: 2.0923 - accuracy: 0.8263
17/17 [==============================] - 1s 86ms/step - loss: 1.7563 - accuracy: 0.8316
17/17 [==============================] - 1s 87ms/step - loss: 1.5620 - accuracy: 0.8696
17/17 [==============================] - 1s 87ms/step - loss: 1.9174 - accuracy: 0.8330
17/17 [==============================] - 1s 87ms/step - loss: 1.9638 - accuracy: 0.8556
17/17 [==============================] - 2s 91ms/step - loss: 1.1237 - accuracy: 0.9081
17/17 [==============================] - 1s 86ms/step - loss: 1.5316 - accuracy: 0.8961
17/17 [==============================] - 1s 87ms/step - loss: 1.3718 - accuracy: 0.8922
17/17 [==============================] - 2s 90ms/step - loss: 1.0249 - accuracy: 0.9095
17/17 [==============================] - 1s 86ms/step - loss: 1.0479 - accuracy: 0.9172
17/17 [==============================] - 1s 86ms/step - loss: 0.6420 - accuracy: 0.9355
17/17 [==============================] - 1s 85ms/step - loss: 0.9934 - accuracy: 0.9220
17/17 [==============================] - 1s 85ms/step - loss: 1.1532 - accuracy: 0.9076
17/17 [==============================] - 1s 84ms/step - loss: 0.7894 - accuracy: 0.9240
17/17 [==============================] - 1s 85ms/step - loss: 1.2772 - accuracy: 0.9158
17/17 [==============================] - 1s 85ms/step - loss: 0.9668 - accuracy: 0.9254
17/17 [==============================] - 1s 84ms/step - loss: 1.4819 - accuracy: 0.8898
17/17 [==============================] - 1s 84ms/step - loss: 0.9408 - accuracy: 0.9326
17/17 [==============================] - 1s 85ms/step - loss: 0.8497 - accuracy: 0.9350
17/17 [==============================] - 1s 88ms/step - loss: 0.5228 - accuracy: 0.9538
17/17 [==============================] - 1s 87ms/step - loss: 0.7041 - accuracy: 0.9485
17/17 [==============================] - 1s 86ms/step - loss: 0.7366 - accuracy: 0.9471
17/17 [==============================] - 1s 85ms/step - loss: 0.6962 - accuracy: 0.9447
17/17 [==============================] - 1s 87ms/step - loss: 0.6268 - accuracy: 0.9552
17/17 [==============================] - 2s 90ms/step - loss: 0.3941 - accuracy: 0.9644
17/17 [==============================] - 1s 85ms/step - loss: 0.5332 - accuracy: 0.9591
17/17 [==============================] - 1s 85ms/step - loss: 0.6335 - accuracy: 0.9557
17/17 [==============================] - 1s 87ms/step - loss: 0.4042 - accuracy: 0.9639
17/17 [==============================] - 2s 90ms/step - loss: 0.3165 - accuracy: 0.9721
17/17 [==============================] - 1s 87ms/step - loss: 0.5079 - accuracy: 0.9629
17/17 [==============================] - 2s 90ms/step - loss: 0.3464 - accuracy: 0.9731
17/17 [==============================] - 2s 89ms/step - loss: 0.2608 - accuracy: 0.9726
17/17 [==============================] - 2s 90ms/step - loss: 0.3599 - accuracy: 0.9721
17/17 [==============================] - 1s 85ms/step - loss: 0.4482 - accuracy: 0.9682
17/17 [==============================] - 1s 87ms/step - loss: 0.3309 - accuracy: 0.9726
17/17 [==============================] - 2s 92ms/step - loss: 0.3043 - accuracy: 0.9764
17/17 [==============================] - 2s 90ms/step - loss: 0.1489 - accuracy: 0.9870
17/17 [==============================] - 1s 87ms/step - loss: 0.1285 - accuracy: 0.9865
17/17 [==============================] - 1s 87ms/step - loss: 0.2597 - accuracy: 0.9731
17/17 [==============================] - 2s 89ms/step - loss: 0.2792 - accuracy: 0.9774
17/17 [==============================] - 2s 91ms/step - loss: 0.1678 - accuracy: 0.9822
17/17 [==============================] - 2s 90ms/step - loss: 0.1775 - accuracy: 0.9846
17/17 [==============================] - 2s 92ms/step - loss: 0.1217 - accuracy: 0.9836
17/17 [==============================] - 2s 92ms/step - loss: 0.0775 - accuracy: 0.9913
17/17 [==============================] - 2s 91ms/step - loss: 0.1772 - accuracy: 0.9860
17/17 [==============================] - 2s 94ms/step - loss: 0.8986 - accuracy: 0.9442
17/17 [==============================] - 2s 92ms/step - loss: 0.6455 - accuracy: 0.9605
17/17 [==============================] - 2s 92ms/step - loss: 0.4650 - accuracy: 0.9663
17/17 [==============================] - 2s 90ms/step - loss: 0.3401 - accuracy: 0.9731
17/17 [==============================] - 2s 91ms/step - loss: 0.6010 - accuracy: 0.9673
17/17 [==============================] - 2s 89ms/step - loss: 0.3075 - accuracy: 0.9788
17/17 [==============================] - 2s 89ms/step - loss: 0.4531 - accuracy: 0.9702
17/17 [==============================] - 2s 91ms/step - loss: 0.2304 - accuracy: 0.9798
17/17 [==============================] - 2s 95ms/step - loss: 0.1685 - accuracy: 0.9870
